    1 #A_WH+                       wh+_adjective
    2 #A_WH-                       wh-_adjective
    3 #A_comma_conj                Adjective_comma_conjunction
    4 #A_conj_but                  #A_conj_but
    5 #A_lex_conj                  Adjective_lexical_conjunction
    6 #A_scolon_conj               Adjective_semicolon_conjunction
    7 #A_compar-		   Noncomparative_adjective
    8 #AP_conj_but                 #AP_conj_but
    9 #AP_comma_conj               AdjP_conjoined_by_Comma
   10 #AP_lex_conj                 #AP_lex_conj
   11 #Ad_equiv+		   Equivalence_comparative_adverb
   12 #Ad_equiv-		   Nonequivalence_comparative_adverb
   13 #Ad_compar+		   Comparative_adverb
   14 #Ad_compar-		   Noncomparative_adverb
   15 #Ad_comma_conj               Adverb_comma_conjunction
   16 #Ad_lex_conj                 Adverb_lexical_conjunction
   17 #And_conj                    And_conjunction
   18 #And_conj1                   Conjunction_with_And
   19 #Andor_conj                  Andor_conjunction
   20 #Both_conj                   Bothand_conjunction
   21 #But_agr                     NP_agreement_with_but_conjunction
   22 #But_Nagr                    Agrees_with_First_Conjunct
   23 #But_NPagr                   Agrees_with_First_Conjunct
   24 #But_conj                    But_conjunction
   25 #COMP_FOR                    for_complementizer
   26 #COMP_IF                     if_complementizer
   27 #COMP_THAT                   that_complementizer
   28 #COMP_WH+                    wh+_complementizer
   29 #COMP_WH-                    wh-_complementizer
   30 #COMP_WHETHER                whether_complementizer
   31 #Colon                       Colon
   32 #Comma                       Comma
   33 #Comma1                      Relative_Appositive_Comma
   34 #Comma_conj                  Comma_Conjunction
   35 #DQuote                      Double_Quotemark
   36 #Dquote_adj                  Double_Quotes_on_Adj
   37 #Dquote_adv                  Quotes_on_Adv
   38 #Dquote_det                  Quotes_on_Det
   39 #Dquote_np                   Double_Quotes_on_NP
   40 #Dquote_n                    Double_Quotes_on_N
   41 #Dquote_pp                   Double_Quotes_on_PP
   42 #Dquote_p                    Double_Quotes_on_P
   43 #Dquote_s                    Double_Quotes_on_S
   44 #Dquote_vp                   Double_Quotes_on_VP
   45 #Dquote_v                    Double_Quotes_on_V
   46 #D_3pl                       3rdperson_plural_determiner
   47 #D_3sg                       3rdperson_singular_determiner
   48 #D_3                         3rdperson_plural_or__singular_determiner
   49 #D_AGR_NXr                   determiner_must_agree_with_attachment_site
   50 #D_card+                     cardinal+_determiner
   51 #D_card-                     cardinal-_determiner
   52 #D_compl+			   #D_compl+
   53 #D_compl-			   #D_compl-
   54 #D_const+                    constancy+_determiner
   55 #D_const-                    constancy-_determiner
   56 #D_decreas+                  decreasing+_determiner
   57 #D_decreas-                  decreasing-_determiner
   58 #D_definite+                 definite+_determiner
   59 #D_definite-                 definite-_determiner
   60 #D_gen+                      genitive+_determiner
   61 #D_gen-                      genitive-_determiner
   62 #D_predet+                   predeterminer+
   63 #D_predet-                   predeterminer-
   64 #D_quan+                     quanitifer+_determiner
   65 #D_quan-                     quanitifer-_determiner
   66 #D_wh+                       wh+_determiner
   67 #D_wh-                       wh-_determiner
   68 #D1_card+                    #D1_card+
   69 #D2_card+                    #D2_card+
   70 #Df_const-                   #Df_const-
   71 #Dash                        Dash
   72 #Dash1                       Dash+
   73 #Det_comma_conj              Determiner_comma_conjunction
   74 #Det_lex_conj                Determiner_lexical_conjunction
   75 #Df_card+                    adjoins_onto_cardinal+_determiner
   76 #Dx_conj_but                 #Dx_conj_but
   77 #Either_conj                 Eitheror_conjunction
   78 #Excl                        Exclamation
